"filename", "language", "HTML", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\dark\Desktop\lxbishe\web\babel.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 8, 2, 17
"c:\Users\dark\Desktop\lxbishe\web\package-lock.json", "JSON", 0, 0, 0, 33364, 0, 0, 0, 0, 1, 33365
"c:\Users\dark\Desktop\lxbishe\web\package.json", "JSON", 0, 0, 0, 66, 0, 0, 0, 0, 1, 67
"c:\Users\dark\Desktop\lxbishe\web\public\index.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\dark\Desktop\lxbishe\web\src\App.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\dark\Desktop\lxbishe\web\src\assets\css\ali.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 1, 2, 21
"c:\Users\dark\Desktop\lxbishe\web\src\assets\css\blue-skin5152.css", "CSS", 0, 0, 0, 0, 0, 95, 0, 5, 14, 114
"c:\Users\dark\Desktop\lxbishe\web\src\assets\css\bootstrap5152.css", "CSS", 0, 0, 0, 0, 0, 5009, 0, 39, 677, 5725
"c:\Users\dark\Desktop\lxbishe\web\src\assets\css\green-skin5152.css", "CSS", 0, 0, 0, 0, 0, 102, 0, 5, 20, 127
"c:\Users\dark\Desktop\lxbishe\web\src\assets\css\main5152.css", "CSS", 0, 0, 0, 0, 0, 1226, 0, 45, 132, 1403
"c:\Users\dark\Desktop\lxbishe\web\src\assets\css\red-skin5152.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 4, 9, 59
"c:\Users\dark\Desktop\lxbishe\web\src\assets\css\responsive5152.css", "CSS", 0, 0, 0, 0, 0, 1058, 0, 9, 153, 1220
"c:\Users\dark\Desktop\lxbishe\web\src\components\activity.vue", "Vue", 0, 0, 0, 0, 79, 0, 0, 0, 1, 80
"c:\Users\dark\Desktop\lxbishe\web\src\components\carousel.vue", "Vue", 0, 0, 0, 0, 72, 0, 0, 0, 4, 76
"c:\Users\dark\Desktop\lxbishe\web\src\components\comment.vue", "Vue", 0, 0, 0, 0, 432, 0, 0, 17, 15, 464
"c:\Users\dark\Desktop\lxbishe\web\src\components\company.vue", "Vue", 0, 0, 0, 0, 66, 0, 0, 0, 4, 70
"c:\Users\dark\Desktop\lxbishe\web\src\components\foot.vue", "Vue", 0, 0, 0, 0, 117, 0, 0, 0, 8, 125
"c:\Users\dark\Desktop\lxbishe\web\src\components\help.vue", "Vue", 0, 0, 0, 0, 86, 0, 0, 1, 3, 90
"c:\Users\dark\Desktop\lxbishe\web\src\components\job.vue", "Vue", 0, 0, 0, 0, 92, 0, 0, 0, 4, 96
"c:\Users\dark\Desktop\lxbishe\web\src\components\news.vue", "Vue", 0, 0, 0, 0, 114, 0, 0, 1, 5, 120
"c:\Users\dark\Desktop\lxbishe\web\src\components\oldstuff.vue", "Vue", 0, 0, 0, 0, 91, 0, 0, 1, 3, 95
"c:\Users\dark\Desktop\lxbishe\web\src\components\oldstuffhot.vue", "Vue", 0, 0, 0, 0, 72, 0, 0, 0, 2, 74
"c:\Users\dark\Desktop\lxbishe\web\src\components\person.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"c:\Users\dark\Desktop\lxbishe\web\src\main.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 21, 9, 132
"c:\Users\dark\Desktop\lxbishe\web\src\plugins\element.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\dark\Desktop\lxbishe\web\src\router\index.js", "JavaScript", 0, 215, 0, 0, 0, 0, 0, 8, 6, 229
"c:\Users\dark\Desktop\lxbishe\web\src\store\index.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 1, 2, 47
"c:\Users\dark\Desktop\lxbishe\web\src\store\modules\user.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\dark\Desktop\lxbishe\web\src\utils\service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dark\Desktop\lxbishe\web\src\views\activity.vue", "Vue", 0, 0, 0, 0, 144, 0, 0, 1, 9, 154
"c:\Users\dark\Desktop\lxbishe\web\src\views\content\activitycontent.vue", "Vue", 0, 0, 0, 0, 236, 0, 0, 2, 14, 252
"c:\Users\dark\Desktop\lxbishe\web\src\views\content\companycontent.vue", "Vue", 0, 0, 0, 0, 129, 0, 0, 9, 17, 155
"c:\Users\dark\Desktop\lxbishe\web\src\views\content\helpcontent.vue", "Vue", 0, 0, 0, 0, 173, 0, 0, 1, 12, 186
"c:\Users\dark\Desktop\lxbishe\web\src\views\content\jobcontent.vue", "Vue", 0, 0, 0, 0, 141, 0, 0, 9, 15, 165
"c:\Users\dark\Desktop\lxbishe\web\src\views\content\newscontent.vue", "Vue", 0, 0, 0, 0, 246, 0, 0, 2, 16, 264
"c:\Users\dark\Desktop\lxbishe\web\src\views\content\oldstuffcontent.vue", "Vue", 0, 0, 0, 0, 259, 0, 0, 1, 12, 272
"c:\Users\dark\Desktop\lxbishe\web\src\views\help.vue", "Vue", 0, 0, 0, 0, 177, 0, 0, 1, 5, 183
"c:\Users\dark\Desktop\lxbishe\web\src\views\home.vue", "Vue", 0, 0, 0, 0, 56, 0, 0, 3, 4, 63
"c:\Users\dark\Desktop\lxbishe\web\src\views\index.vue", "Vue", 0, 0, 0, 0, 573, 0, 0, 21, 34, 628
"c:\Users\dark\Desktop\lxbishe\web\src\views\job.vue", "Vue", 0, 0, 0, 0, 168, 0, 0, 1, 7, 176
"c:\Users\dark\Desktop\lxbishe\web\src\views\kefu\fankui.vue", "Vue", 0, 0, 0, 0, 104, 0, 0, 0, 2, 106
