Date : 2023-03-31 16:27:24
Directory : c:\Users\dark\Desktop\lxbishe
Total : 106 files,  85303 codes, 678 comments, 1705 blanks, all 87686 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\dark\Desktop\lxbishe\web\src\components\person.vue                          | Vue        |         42 |          0 |          3 |         45 |
| c:\Users\dark\Desktop\lxbishe\web\src\main.js                                        | JavaScript |        102 |         21 |          9 |        132 |
| c:\Users\dark\Desktop\lxbishe\web\src\plugins\element.js                             | JavaScript |          4 |          0 |          2 |          6 |
| c:\Users\dark\Desktop\lxbishe\web\src\router\index.js                                | JavaScript |        215 |          8 |          6 |        229 |
| c:\Users\dark\Desktop\lxbishe\web\src\store\index.js                                 | JavaScript |         44 |          1 |          2 |         47 |
| c:\Users\dark\Desktop\lxbishe\web\src\store\modules\user.js                          | JavaScript |         66 |          0 |          1 |         67 |
| c:\Users\dark\Desktop\lxbishe\web\src\utils\service.js                               | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\activity.vue                             | Vue        |        144 |          1 |          9 |        154 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\content\activitycontent.vue              | Vue        |        236 |          2 |         14 |        252 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\content\companycontent.vue               | Vue        |        129 |          9 |         17 |        155 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\content\helpcontent.vue                  | Vue        |        173 |          1 |         12 |        186 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\content\jobcontent.vue                   | Vue        |        141 |          9 |         15 |        165 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\content\newscontent.vue                  | Vue        |        246 |          2 |         16 |        264 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\content\oldstuffcontent.vue              | Vue        |        259 |          1 |         12 |        272 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\help.vue                                 | Vue        |        177 |          1 |          5 |        183 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\home.vue                                 | Vue        |         56 |          3 |          4 |         63 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\index.vue                                | Vue        |        573 |         21 |         34 |        628 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\job.vue                                  | Vue        |        168 |          1 |          7 |        176 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\kefu\fankui.vue                          | Vue        |        104 |          0 |          2 |        106 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\kefu\jubao.vue                           | Vue        |        142 |          3 |          2 |        147 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\kefu\shensu.vue                          | Vue        |        223 |          6 |          5 |        234 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\news.vue                                 | Vue        |        208 |          1 |         11 |        220 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\oldstuff.vue                             | Vue        |        153 |          1 |         10 |        164 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\search.vue                               | Vue        |        320 |          2 |          5 |        327 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\activity\createactivity.vue     | Vue        |        243 |         10 |         12 |        265 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\activity\createactivitylist.vue | Vue        |        142 |          0 |          4 |        146 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\adminhome.vue                   | Vue        |        116 |          2 |          6 |        124 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\adminindex.vue                  | Vue        |         77 |          0 |          6 |         83 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\article\articlelist.vue         | Vue        |        114 |          0 |          2 |        116 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\article\createarticle.vue       | Vue        |        104 |          4 |          3 |        111 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\help\createhelp.vue             | Vue        |        167 |         12 |          1 |        180 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\help\createhelplist.vue         | Vue        |        113 |          0 |          1 |        114 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\job\company.vue                 | Vue        |        184 |          7 |          8 |        199 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\myself.vue                      | Vue        |        257 |         11 |          2 |        270 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\notice.vue                      | Vue        |        112 |          1 |          2 |        115 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\oldstuff\createoldstuff.vue     | Vue        |        174 |         10 |          4 |        188 |
| c:\Users\dark\Desktop\lxbishe\web\src\views\webadmin\oldstuff\createoldstufflist.vue | Vue        |        148 |          0 |          5 |        153 |
| c:\Users\dark\Desktop\lxbishe\web\vue.config.js                                      | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\dark\Desktop\lxbishe\数据库\changhangtong.sql                                  | SQL        |        426 |        122 |         38 |        586 |
| Total                                                                                |            |     85,303 |        678 |      1,705 |     87,686 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
